频道,#genre#
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
龙华偶像,http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8?tid=ME6E1618913016189130&ct=19226&tsum=392d7662a2ff7080289fbe9646e8501d
龙华偶像,http://50.7.238.114:8278/lunghuaidol_twn/playlist.m3u8?tid=MB3B9268047492680474&ct=19234&tsum=792a8d573313f22d3bd8670148df20cb
龙华戏剧,http://50.7.238.114:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
龙华洋片,http://50.7.238.114:8278/lunghuawestern_twn/playlist.m3u8?tid=MC1C3944472239444722&ct=19226&tsum=99c0c7c82e2fc48b16605865c3eaeb82

湖南,#genre#
湖南娱乐,http://222.240.220.198:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://222.244.147.16:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
湖南电影,http://222.240.220.198:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://222.244.147.16:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
湖南电视剧,http://222.240.220.198:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://222.244.147.16:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1

辽宁,#genre#
辽宁体育,http://cd.sy012.com:4000/rtp/232.0.0.66:8820
辽宁公共,http://cd.sy012.com:4000/rtp/232.0.0.156:9322
辽宁教育青少,http://cd.sy012.com:4000/rtp/232.0.0.230:9356
辽宁新动漫,http://cd.sy012.com:4000/rtp/232.0.0.153:9316
辽宁生活,http://cd.sy012.com:4000/rtp/232.0.0.212:9242
辽宁移动电视,http://cd.sy012.com:4000/rtp/232.0.0.167:9338
辽宁葫芦岛公共,http://cd.sy012.com:4000/rtp/232.0.0.239:9262
辽宁葫芦岛综合,http://cd.sy012.com:4000/rtp/232.0.0.238:9260
